Date,LT,upper,lower
2017-08-24,1131.7,1184.966756377689,1104.3118150508833
2017-08-28,1138.9,1178.148412030205,1105.8515879697964
2017-08-29,1130.05,1167.6381490780386,1109.2332794933914
2017-08-30,1139.65,1158.5663270793664,1113.7979586349209
2017-08-31,1136.3,1154.8663273996308,1114.9836726003705
2017-09-01,1139.2,1148.970992726901,1118.236150130243
2017-09-04,1130.65,1148.9367750805532,1118.0846534908765
2017-09-05,1126.65,1145.7855453878972,1118.3430260406756
2017-09-06,1117.6,1144.7039167387595,1115.903226118385
2017-09-07,1129.1,1144.204318468867,1115.7028243882771
2017-09-08,1172.4,1159.7520317811488,1106.126539647424
2017-09-11,1217.85,1191.822187730408,1087.0206694124506
2017-09-12,1230.25,1217.1791941068439,1077.7422344645859
2017-09-13,1223.35,1233.5986164386295,1075.4942407042286
2017-09-14,1214.2,1244.3082052216844,1076.570366206888
2017-09-15,1212.4,1252.885943894517,1078.4926275340554
2017-09-18,1237.95,1265.9340505611597,1080.8588065816982
2017-09-19,1225.9,1273.88371026357,1085.2305754507167
2017-09-20,1235.95,1281.9746226483667,1091.3753773516346
2017-09-21,1228.05,1286.5187647266894,1099.5240924161685
2017-09-22,1184.8,1283.4983026419982,1110.2802687865737
2017-09-25,1165.2,1278.7594201966738,1120.526294089041
2017-09-26,1162.9,1270.3962695560815,1135.3608733010622
2017-09-27,1137.2,1268.3387848872696,1138.5755008270173
2017-09-28,1133.35,1274.0956511589104,1127.240063126805
2017-09-29,1142.05,1274.195141488423,1116.3120013687208
2017-10-03,1134.9,1270.7586828681278,1106.1270314175877
2017-10-04,1138.3,1266.1271790777137,1098.6085352080017
2017-10-05,1132.05,1262.142072694339,1090.8579273056619
2017-10-06,1141.8,1256.3037724274936,1086.6105132867929
2017-10-09,1140.95,1241.4579167775464,1087.599226079597
2017-10-10,1142.7,1227.5327221258485,1089.6387064455807
2017-10-11,1133.85,1204.8767648468754,1097.70894943884
2017-10-12,1143.65,1175.5930339085398,1114.9355375200325
2017-10-13,1138.65,1162.1058658726663,1121.8298484130494
2017-10-16,1144.7,1155.7524535709074,1125.2546892862367
2017-10-17,1148.75,1149.224949742656,1129.7607645430598
2017-10-18,1141.4,1149.4793153461897,1130.1063989395261
2017-10-19,1139.75,1149.2029539601642,1131.2970460398371
2017-10-23,1135.75,1148.9933086032372,1130.606691396764
2017-10-24,1142.55,1149.1878054468018,1131.5050516960566
2017-10-25,1204.2,1180.2101106886405,1109.8970321685035
2017-10-26,1223.5,1205.3782706562451,1097.7931579151846
2017-10-27,1224.65,1223.5027842943232,1091.504358562821
2017-10-30,1236.95,1241.8920298305165,1086.8293987409133
2017-10-31,1222.3,1252.2680471424435,1087.824810000415
2017-11-01,1215.3,1258.5781058651771,1093.1504655633955
2017-11-02,1210.95,1263.1425863669263,1098.2002707759323
2017-11-03,1235.0,1270.9941026633696,1104.1130401937744
2017-11-06,1224.7,1275.006338873328,1111.529375412387
2017-11-07,1211.05,1275.7138393583305,1119.7218749273848
2017-11-08,1218.2,1274.666261686491,1131.7408811706528
2017-11-09,1215.9,1270.2073806076646,1147.0783336780505
2017-11-10,1264.95,1270.4449333679686,1165.2979237748896
2017-11-13,1240.55,1255.9441154222682,1193.79874172059
2017-11-14,1210.2,1255.291203838639,1195.3087961613624
2017-11-15,1209.5,1255.4605519848167,1193.1394480151846
2017-11-16,1219.3,1255.190937410861,1192.6447768748544
2017-11-17,1222.8,1253.2671838306085,1192.5471018836777
2017-11-20,1229.8,1254.0206484084106,1192.8650658773045
2017-11-21,1222.65,1254.1937657222365,1193.7419485634787
2017-11-22,1222.7,1254.1145285669145,1195.4997571473723
2017-11-23,1215.95,1252.4829166056431,1194.409940537215
2017-11-24,1218.5,1252.1466261305252,1193.8605167266185
2017-11-27,1224.75,1252.3046701004698,1195.6596156138169
2017-11-28,1211.7,1252.4551263548783,1194.5805879308368
2017-11-29,1217.85,1252.4548953640483,1194.8593903502378
2017-11-30,1216.55,1236.5927282189368,1203.8072717810637
2017-12-01,1211.65,1230.195401012757,1206.0760275586722
2017-12-04,1217.5,1229.838023319363,1207.4762623949232
2017-12-05,1209.9,1229.767399007006,1207.6040295644236
2017-12-06,1191.25,1235.0397280486732,1198.3245576656136
